"","X1","X2","value","SigStar"
"376","24","X3",-0.542610791588219,NA
"377","25","X3",-6.59617832318926,"*"
"378","33","X3",-0.420483670892817,NA
"379","11","X14",-2.12431403167291,NA
"380","22","X14",-1.13421199326819,NA
"381","26","X14",-1.52793767302649,NA
"382","35","X14",-0.524730087308763,NA
"383","36","X14",-0.172236447292074,NA
"384","37","X14",-2.2162235219492,NA
"385","40","X14",-0.169134360732429,NA
"386","42","X14",1.65930722149276,NA
"387","3","X14",-0.626580662934426,NA
"388","14","X14",NA,NA
"389","15","X14",-0.208294898078914,NA
"390","18","X14",0.262999401331986,NA
"391","23","X14",-0.386940335767359,NA
"392","27","X14",1.10682430756889,NA
"393","34","X14",0.316362229698306,NA
"394","38","X14",-0.609208543515984,NA
"395","41","X14",0.674670193445774,NA
"396","1","X14",-5.71386877515067,"*"
"397","12","X14",0.11094554146502,NA
"398","28","X14",-0.332418320451349,NA
"399","29","X14",-2.69111303650165,NA
"400","30","X14",2.21133328779991,NA
"401","31","X14",-0.2198692122137,NA
"402","32","X14",-1.19411903326031,NA
"403","39","X14",-5.46291858403533,"*"
"404","2","X14",-6.3229718640548,"*"
"405","6","X14",-5.77310923756093,"*"
"406","8","X14",-6.27709768953145,"*"
"407","13","X14",-5.35540282140007,"*"
"408","4","X14",-0.580911954785883,NA
"409","5","X14",1.16369842379562,NA
"410","17","X14",-4.83812793725265,NA
"411","7","X14",-4.19904650711077,NA
"412","9","X14",-0.488299590196504,NA
"413","10","X14",-5.08194155334582,"*"
"414","16","X14",-2.85640140637088,NA
"415","19","X14",-1.2278456408873,NA
"416","20","X14",-4.34914807089222,NA
"417","21","X14",-5.11361729943329,"*"
"418","24","X14",-3.11473247638311,NA
"419","25","X14",-4.62741936138999,NA
"420","33","X14",-5.3870078137963,"*"
"421","11","X15",-3.78793412571279,NA
"422","22","X15",-1.79848976205182,NA
"423","26","X15",-0.750461952546814,NA
"424","35","X15",-0.756034365052553,NA
"425","36","X15",1.97663845179752,NA
"426","37","X15",-1.68456510642296,NA
"427","40","X15",1.8391752409017,NA
"428","42","X15",1.24867943146924,NA
"429","3","X15",5.73199411073874,"*"
"430","14","X15",-0.208294898078914,NA
"431","15","X15",NA,NA
"432","18","X15",-0.498986530299703,NA
"433","23","X15",-0.198860506030573,NA
"434","27","X15",3.22315402856255,NA
"435","34","X15",0.640657701958893,NA
"436","38","X15",1.14966896335413,NA
"437","41","X15",1.05562289304129,NA
"438","1","X15",-2.51869333664297,NA
"439","12","X15",0.114467620724705,NA
"440","28","X15",-3.30163227963795,NA
"441","29","X15",-0.740414317984839,NA
"442","30","X15",-2.05290870665498,NA
"443","31","X15",-1.19891087369524,NA
"444","32","X15",0.0426974276149804,NA
"445","39","X15",-2.62537150223812,NA
"446","2","X15",-0.48617094341859,NA
"447","6","X15",-0.366394720766064,NA
"448","8","X15",-0.826815024383053,NA
"449","13","X15",-0.320666033058003,NA
"450","4","X15",0.579393054315529,NA
"451","5","X15",0.00585979575954597,NA
"452","17","X15",0.0324985808621337,NA
"453","7","X15",-0.0937263818268518,NA
"454","9","X15",-0.472209351783521,NA
"455","10","X15",-2.29595598328151,NA
"456","16","X15",-0.63000489564241,NA
"457","19","X15",-1.30795378461007,NA
"458","20","X15",-0.474592924422288,NA
"459","21","X15",0.265260364854713,NA
"460","24","X15",-0.606617199312224,NA
"461","25","X15",-6.40861190749948,"*"
"462","33","X15",-0.143926730278067,NA
"463","11","X18",1.79117586057092,NA
"464","22","X18",-0.153152587596374,NA
"465","26","X18",0.315000617920127,NA
"466","35","X18",-0.799207109301825,NA
"467","36","X18",-2.08552283782853,NA
"468","37","X18",1.20654219028268,NA
"469","40","X18",-1.9569995862224,NA
"470","42","X18",-3.67634871172999,NA
"471","3","X18",-0.0626854145077742,NA
"472","14","X18",0.262999401331986,NA
"473","15","X18",-0.498986530299703,NA
"474","18","X18",NA,NA
"475","23","X18",-0.0231692582422234,NA
"476","27","X18",-0.320926378554114,NA
"477","34","X18",-0.50746185993477,NA
"478","38","X18",-0.305234286316772,NA
"479","41","X18",-2.69936691328168,NA
"480","1","X18",0.238757130831906,NA
"481","12","X18",-0.164409566940693,NA
"482","28","X18",-1.21330912202828,NA
"483","29","X18",-1.53365092479688,NA
"484","30","X18",-0.481454620011702,NA
"485","31","X18",1.63057375941749,NA
"486","32","X18",-0.557155910688663,NA
"487","39","X18",2.09030167101369,NA
"488","2","X18",0.629135961810086,NA
"489","6","X18",0.00513057418668897,NA
"490","8","X18",0.0119306338344104,NA
"491","13","X18",-0.31380875875329,NA
"492","4","X18",2.44941038603916,NA
"493","5","X18",1.57980941050733,NA
"494","17","X18",-0.466728848541505,NA
"495","7","X18",-0.925595530679061,NA
"496","9","X18",2.94490630939612,NA
"497","10","X18",-1.54473118285565,NA
"498","16","X18",-0.593428300278629,NA
"499","19","X18",1.01073836606609,NA
"500","20","X18",-0.616006161691411,NA
"501","21","X18",-1.54158740501471,NA
"502","24","X18",2.62334973879022,NA
"503","25","X18",-0.405114956848383,NA
"504","33","X18",1.22107037722601,NA
"505","11","X23",-4.15227274525637,NA
"506","22","X23",0.0753706188584047,NA
"507","26","X23",-0.880529671302149,NA
"508","35","X23",-0.696902732549154,NA
"509","36","X23",-4.39351791094049,NA
"510","37","X23",-2.86188641621398,NA
"511","40","X23",-2.12877944025167,NA
"512","42","X23",0.188475684151116,NA
"513","3","X23",-3.34279164346182,NA
"514","14","X23",-0.386940335767359,NA
"515","15","X23",-0.198860506030573,NA
"516","18","X23",-0.0231692582422234,NA
"517","23","X23",NA,NA
"518","27","X23",-2.90974453451461,NA
"519","34","X23",-1.26737748613975,NA
"520","38","X23",-2.16367538155427,NA
"521","41","X23",-1.90872054160481,NA
"522","1","X23",-2.00235549135227,NA
"523","12","X23",-0.0841290745151092,NA
"524","28","X23",0.448680059637283,NA
"525","29","X23",0.331012945311979,NA
"526","30","X23",2.7270322739221,NA
"527","31","X23",-2.807208277621,NA
"528","32","X23",-1.00760684089726,NA
"529","39","X23",-1.42111103824015,NA
"530","2","X23",-2.93856813909569,NA
"531","6","X23",-1.43881388226185,NA
"532","8","X23",-1.72045785142405,NA
"533","13","X23",-4.78879525174445,NA
"534","4","X23",-1.46143080827651,NA
"535","5","X23",-0.085120299830586,NA
